exam_type,category,scenario,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation
AI模擬,4-3 コンテンツ保護,,"著作権法上の職務著作（第15条）および引用（第32条）に関して、最も適切と考えられるものはどれか。",法人等の業務に従事する者が職務上作成したプログラムの著作物は、法人等の名義で公表されなければ職務著作とはならない。,派遣社員が派遣先の指揮命令下で職務上作成した著作物は、特約がない限り、派遣元の会社を著作者とする職務著作が成立する。,公表された著作物は、公正な慣行に合致し、かつ報道、批評、研究その他の引用の目的上正当な範囲内であれば、許諾なく引用して利用できる。,インターネット上の画像を自らのSNSに貼り付ける際、単にその画像のURLを併記するだけであれば、引用の要件をすべて満たしたものとされる。,ウ,"著作権法32条。引用の要件は公認の慣行・正当な範囲内。プログラムの職務著作に公表要件は不要。派遣社員は派遣先での職務著作が成立し得る。"
AI模擬,4-3 コンテンツ保護,,"著作権の制限および新たな裁定制度に関して、最も不適切と考えられるものはどれか。",著作権者が不明である場合だけでなく、連絡先はわかっているが連絡がつかない場合（未管理著作物）も、新たな裁定制度の対象となる。,営利を目的としない上演・演奏等であっても、聴衆から料金を徴収する場合には、著作権者の許諾が必要である。,著作隣接権のうち、実演家の録音・録画権の存続期間は、実演が行われた日の属する年の翌年から70年である。,新たな裁定制度に基づき利用が認められた著作物は、著作権者が現れて裁定の取消しを求めた場合でも、永久に利用を継続できる。,エ,"著作権法67条の3（令和5年改正）。権利者が現れて取消しを求めた場合、利用者は利用を停止しなければならない。遡及的な侵害責任は負わない。"
AI模擬,2-2 リスク管理,,"改正不正競争防止法に関して、最も適切と考えられるものはどれか。",形態模倣行為（第2条第1項第3号）の対象となる行為には、電気通信回線を通じてデジタル商品の形態を模倣したデータを提供する行為も含まれる。,デジタル空間における形態模倣に対する差止請求権の行使期限は、その商品の販売開始から5年間である。,営業秘密として保護されるためには、秘密管理性、有用性に加え、「事業性」の要件を満たす必要がある。,ビッグデータなどの「限定提供データ」は、秘密管理されている場合には保護の対象外となる。,ア,"不正競争防止法2条1項3号（令和5年改正）。デジタル空間での模倣品提供が規制対象に明記された。行使期限（保護期間）は販売開始から3年。"
AI模擬,6. 関係法規,,"知的財産に関する国際条約に関して、最も適切と考えられるものはどれか。",パリ条約に基づき、特許出願の優先期間は、最初の出願の日から6ヶ月である。,PCT国際出願において、国際調査報告を受領した出願人は、一度に限り、WIPOの国際事務局に対して特許請求の範囲の補正を行うことができる。,マドリッド協定議定書に基づき、日本で行った登録を基礎として国際登録出願を行う際、事後指定によって保護を求める国を追加することはできない。,ハーグ協定に基づき、意匠の国際出願を行う場合、すべての指定国において無審査で登録が認められる。,イ,"PCT19条補正。国際調査報告後、1回に限り国際事務局へ補正書を提出できる。特許の優先期間は12ヶ月。マドプロの事後指定は可能。"
AI模擬,5-2 エンフォースメント,,"経済安全保障推進法に基づく特許出願の非公開制度に関して、最も適切と考えられるものはどれか。",保全指定を受けた発明であっても、出願人は外国への出願を自由に行うことができる。,保全指定を受けた出願であっても、通常通り出願公開が行われ、J-PlatPatで検索可能である。,保全指定の対象となった発明について、国はその非公開によって生じた損失を補償しなければならない。,保全指定は一度行われれば、特許権の存続期間が満了するまで解除されることはない。,ウ,"経済安全保障推進法。保全指定された発明は非公開（出願公開なし）となり、外国出願も制限される。これによる損失は国が補償する規定がある。"
AI模擬,4-2 技術保護,,"特許法第30条（新規性喪失の例外）の適用を受けた出願に関して、最も適切と考えられるものはどれか。",出願日が公開日にまで遡及するため、公開後の第三者の出願よりも優先される。,意に反して公知となった場合は、公知日から1年6ヶ月以内に出願すれば本規定の適用を受けられる。,自ら刊行物に発表した発明について適用を受けるには、出願から30日以内に証明書を提出しなければならない。,本規定を適用して出願すれば、特許されるまでその発明が他国で公知となっても海外での権利化を妨げない。,ウ,"特許法30条。自ら公表した場合等は1年以内に出願し、30日以内に証明書提出が必要。出願日の遡及効はないため第三者の先願リスクがある。"
AI模擬,5-1 契約,,"特許法第35条（職務発明）における「相当の利益」の内容決定に関して、最も不適切と考えられるものはどれか。",相当の利益は、必ずしも金銭である必要はなく、ストックオプションや留学の機会等も含まれる。,会社が特許を受ける権利を承継した場合でも、従業者等との契約に基づき「相当の利益」を支払わないことができる。,基準の策定にあたっては、従業者等との協議が必要であり、策定した基準を従業者等に開示しなければならない。,具体的な利益の額の決定にあたっては、当該従業者等から意見を聴取することが望ましいとされる。,イ,"特許法35条4項。権利を承継した場合は相当の利益を与える権利が発生する。手続の合理性が欠けると、裁判所で額が再定義されるリスクがある。"
AI模擬,2-2 リスク管理,"特許権者A社は、侵害行為を行ったB社に対し損害賠償を請求した。B社の販売数量は1000個だが、A社の生産能力は600個であった。","特許法第102条第1項（令和元年改正）に基づく損害額の算定として、最も適切と考えられるものはどれか。",A社の生産能力を超える400個分については、損害として一切請求できない。,B社が販売した1000個すべてについて、A社の単位利益を乗じた額が損害額として推定される。,A社の能力内（600個）はA社の利益に基づき算定し、超過分（400個）はライセンス料相当額を合算して請求できる。,能力超過分の算定において、侵害を前提として交渉した場合に決まるであろう高いライセンス料率を適用することは禁じられている。,ウ,"特許法102条1項2号。能力超過分もライセンス料相当額として損害に含めることが可能となった。4項により、侵害を前提とした料率考慮も可能。"
AI模擬,4-2 技術保護,,"実用新案登録制度に関して、最も適切と考えられるものはどれか。",実用新案権の存続期間は、設定登録の日から10年である。,実用新案登録出願は、実体審査（新規性・進歩性等）を経ることなく登録される。,実用新案権者は、権利侵害に対し差止請求を行う際、実用新案技術評価書を提示する必要はない。,実用新案登録後に、その出願を特許出願へ変更することは一切認められない。,イ,"実用新案法。無審査主義（14条）を採用。存続期間は出願日から10年。権利行使には評価書の提示と警告が必須（29条の3）。"
AI模擬,4-4 デザイン保護,,"意匠法上の関連意匠制度（令和元年改正以降）に関して、最も適切と考えられるものはどれか。",関連意匠として登録を受けるためには、本意匠の出願日から5年以内にその意匠登録出願をしなければならない。,関連意匠の意匠権の存続期間は、その設定登録の日から25年である。,本意匠と類似せず、関連意匠にのみ類似する意匠（連鎖的関連意匠）も、登録を受けることができる。,関連意匠権は、本意匠の意匠権が消滅した後も、独自の存続期間（25年）が維持される。,ウ,"意匠法10条。本意匠出願から10年以内に出願可能。存続期間は「本意匠の出願日」から25年。連鎖的関連意匠の登録も認められた。"
AI模擬,4-4 デザイン保護,,"2024年4月に施行された意匠法第4条（新規性喪失の例外）の改正内容に関して、最も適切と考えられるものはどれか。",自ら公開した意匠について、公開から1年以内に出願すれば、いかなる場合も証明書の提出が不要となった。,意に反して公開された意匠については、新規性喪失の例外規定の適用を受けることができなくなった。,複数の公開行為がある場合、最先の公開についてのみ証明すれば、その後の同一・類似の意匠の公開についての証明書の提出が免除される。,新規性喪失の例外規定の適用は、日本国内での公開行為に限られ、海外のウェブサイトでの公開は対象外である。,ウ,"意匠法4条（令和5年改正）。SNS等での拡散を考慮し、最先の公開のみを証明すれば、その後の類似意匠の公開は証明免除となる手続緩和が行われた。"
AI模擬,4-1 ブランド保護,,"2024年4月に施行された改正商標法（コンセント制度）に関して、最も不適切と考えられるものはどれか。",先行登録商標権者の承諾（コンセント）があり、かつ出所混同のおそれがないと認められる場合に併存登録を認める制度である。,審査官が混同のおそれがあると判断した場合は、先行権利者の承諾があっても登録は認められない。,コンセント制度により併存登録された後、一方の権利者が不正の目的で混同を生じさせた場合は、不正使用取消審判の対象となる。,コンセント制度による登録後は、先行商標権者から混同防止表示を請求されることはない。,エ,"商標法24条の4。併存登録後も、一方の使用により利益が害されるおそれがあるときは、互いに混同防止表示を請求できる。"
AI模擬,4-1 ブランド保護,,"2024年4月に施行された商標法第4条第1項第8号（他人の氏名）の改正に関して、最も適切と考えられるものはどれか。",他人の氏名を含む商標は、同姓同名の他人が一人でも存在する限り、その全員の承諾を得なければ登録できない。,他人の氏名による拒絶は、その他人が当該分野において需要者の間に広く認識されている場合に限定された。,出願人が自己の氏名を登録しようとする場合、同姓同名の他人の知名度にかかわらず無条件で登録が認められる。,出願人との間に「相当の関連性」があっても、不正の目的がないことを証明できなければ登録は認められない。,イ,"商標法4条1項8号。人格的利益を保護しつつ、知名度のない他人の氏名については承諾を不要とする緩和が行われた。相当の関連性と不正目的のなさがセットで必要。"
AI模擬,4-1 ブランド保護,,"商標権の不使用取消審判（第50条）に関して、最も適切と考えられるものはどれか。",継続して1年以上、日本国内で使用されていないときは、何人も審判を請求できる。,商標権者だけでなく、専用使用権者又は通常使用権者が使用している場合も、取消しを免れることができる。,審判の請求前3ヶ月以内に商標の使用を開始した場合は、いかなる場合も取消しを免れることができる。,不使用取消審判の結果、登録が取り消された場合、その商標権は出願時に遡って消滅する。,イ,"商標法50条。継続3年以上の不使用が要件。使用権者の使用も有効。請求前3ヶ月以内の「駆け込み使用」は、原則として使用と認められない。"
AI模擬,4-3 コンテンツ保護,,"著作権法上の職務著作（第15条）に関して、最も適切と考えられるものはどれか。",プログラムの著作物については、法人等の名義で公表されなければ職務著作とはならない。,法人の業務に従事する者が作成したものであっても、法人の発意に基づかないものは職務著作とはならない。,嘱託社員や派遣社員が作成した著作物は、いかなる場合も職務著作には該当しない。,職務著作が成立した場合でも、著作者人格権は作成した従業員に帰属する。,イ,"著作権法15条。発意、業務従事者、職務上、法人名義公表（プログラム除）、契約の別段の定めなし、の要件が必要。プログラムは公表不要。"
AI模擬,4-3 コンテンツ保護,,"著作権法上の引用（第32条）の要件として、最も不適切と考えられるものはどれか。",公表された著作物を利用すること。,報道、批評、研究その他の引用の目的上正当な範囲内であること。,引用部分とそれ以外の部分の「主従関係」が明確であること。,引用する著作物の著作者の氏名を表示すれば、出所の明示（出典の記載）は不要である。,エ,"著作権法32条、48条。引用には出所の明示が必須。主従関係や必然性も判断材料となる。"
AI模擬,4-3 コンテンツ保護,,"2026年4月施行予定の「未管理公表著作物等の利用に関する新たな裁定制度」に関して、最も適切と考えられるものはどれか。",著作権者が不明な場合のみが対象であり、連絡がつかない場合は対象外である。,利用者は、文化庁長官の登録を受けた「登録確認機関」に対し申請を行う。,裁定により利用できる期間は、一度の申請で著作権の存続期間満了まで認められる。,裁定後に著作権者が現れた場合でも、権利者は裁定の取消しを求めることはできない。,イ,"著作権法67条の3（改正）。権利者と連絡がつかない「未管理」著作物を対象とし、窓口として登録確認機関を活用する。期間は最長3年（更新可）。"
AI模擬,4-3 コンテンツ保護,,"文化庁の最新ガイドライン（令和6年）における「AIと著作権」の考え方に関して、最も適切と考えられるものはどれか。",AI開発・学習段階における著作物の利用は、いかなる場合も著作権者の許諾が必要である。,AIを利用して生成したものが、既存の著作物と「類似性」および「依拠性」を有していても、AIによる生成であれば著作権侵害とはならない。,AIが自律的に生成したものは、原則として著作物には該当しない。,プロンプトに特定の画家の名前を入力して生成させた場合、その「画風」が似ているだけで著作権侵害となる。,ウ,"著作物性は「人の思想又は感情を創作的に表現したもの」に認められる。AIの自律生成は非著作物。画風（アイデア）の模倣は侵害にならない。"
AI模擬,2-2 リスク管理,,"改正不正競争防止法（2024年4月施行）におけるデジタル空間の形態模倣に関して、最も適切と考えられるものはどれか。",リアルの商品の形態をデジタル空間で模倣する行為は、依然として規制の対象外である。,電気通信回線を通じて提供されるデジタル商品の形態模倣も、不正競争行為として差止請求の対象となった。,形態模倣行為の保護期間は、商品の販売（提供）開始日から5年間である。,B社のデジタルデータが、A社のリアル商品と「混同」を生じさせていない場合、本規定に基づく差し止めはできない。,イ,"不正競争防止法2条1項3号。デジタル空間の形態模倣も規制。混同要件は不要（デッドコピー保護）。保護期間は3年。"
AI模擬,2-2 リスク管理,,"不正競争防止法上の営業秘密（2条6項）の3要件として、正しい組み合わせはどれか。",秘密管理性・有用性・非公知性,秘密管理性・事業性・非公知性,秘密管理性・有用性・独創性,秘密管理性・事業性・新規性,ア,"不正競争防止法2条6項。営業秘密の3要件は、秘密管理性（秘密として管理されている）、有用性（事業活動に有用）、非公知性（一般に知られていない）である。"
AI模擬,2-2 リスク管理,,"不正競争防止法第2条第1項第7項の「限定提供データ」に関して、2024年4月の改正内容はどれか。",限定提供データとして保護されるためには、秘密管理されていないことが条件となった。,自社で秘密管理しているビッグデータであっても、他者に提供するものは限定提供データとして保護対象に含まれるようになった。,限定提供データの保護期間は、特許権と同様に出願から20年と定められた。,ドメイン名の不正取得行為が、限定提供データの侵害行為として統合された。,イ,"不競法改正。共有されるビッグデータを保護するため、秘密管理されているデータも限定提供データの範囲に含める拡充が行われた。"
AI模擬,6. 関係法規,,"知的財産に関する国際条約に関して、最も適切と考えられるものはどれか。",パリ条約に基づく優先期間は、特許・意匠・商標のいずれも最初の出願から12ヶ月である。,PCT国際出願において、国際調査報告受領後に国際事務局宛に行う補正は「第34条補正」と呼ばれる。,パリ条約の優先権を主張して出願した場合、特許権の存続期間は最初の出願の日から20年と計算される。,マドリッド協定議定書に基づき、日本で行った登録を基礎として国際登録出願を行うことができる。,エ,"国際条約。優先期間は特許12ヶ月、意匠・商標6ヶ月。第19条補正が国際事務局宛。存続期間は「現実の出願日」から20年。"
